,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
434,8.68,7.448,0.2587,0.0,3.302
435,8.7,6.142,0.20919,0.0,3.156
436,8.72,5.191,0.1766,0.0,2.948
437,8.74,4.693,0.14419,0.0,2.738
438,8.76,4.419,0.11985,0.0,2.66
439,8.78,5.631,0.13081,0.0,2.773
440,8.8,6.905,0.1409,0.0,2.229
441,8.82,6.969,0.15378,0.0,2.147
442,8.84,6.646,0.15662,0.0,2.186
443,8.86,6.322,0.1717,0.0,2.397
444,8.88,5.733,0.18531,0.0,3.137
445,8.9,5.366,0.17287,0.0,3.178
446,8.92,5.295,0.16957,0.0,3.184
447,8.94,5.164,0.13805,0.0,2.684
448,8.96,5.427,0.12823,0.0,2.396
449,8.98,5.922,0.12259,0.0,2.127
450,9.0,6.55,0.10422,0.0,1.631
451,9.02,7.615,0.09606,0.0,1.318
452,9.04,7.628,0.10119,0.0,1.285
453,9.06,8.478,0.10977,0.0,1.345
454,9.08,9.335,0.12103,0.0,1.33
455,9.1,9.405,0.1335,0.0,1.413
456,9.12,9.479,0.14468,0.0,1.549
457,9.14,10.462,0.15663,0.0,1.548
458,9.16,11.663,0.17046,0.0,1.504
459,9.18,12.941,0.19102,0.0,1.511
460,9.2,14.336,0.21294,0.0,1.513
461,9.22,15.666,0.23409,0.0,1.516
462,9.24,16.964,0.25994,0.0,1.557
463,9.26,18.147,0.28734,0.0,1.604
464,9.28,19.224,0.3135,0.0,1.651
465,9.3,20.321,0.34333,0.0,1.714
466,9.32,21.586,0.37205,0.0,1.755
467,9.34,22.542,0.39064,0.0,1.748
468,9.36,23.01,0.39408,0.0,1.727
469,9.38,23.537,0.40966,0.0,1.75
470,9.4,23.639,0.40192,0.0,1.699
471,9.42,22.486,0.39126,0.0,1.72
472,9.44,22.659,0.42391,0.0,1.885
473,9.46,23.703,0.40289,0.0,1.72
474,9.48,23.229,0.39692,0.0,1.686
475,9.5,21.124,0.41987,0.0,1.968
476,9.52,20.918,0.42972,0.0,2.067
477,9.54,20.649,0.40522,0.0,1.913
478,9.56,18.884,0.3878,0.0,2.021
479,9.58,19.514,0.36985,0.0,1.923
480,9.6,19.84,0.35306,0.0,1.775
481,9.62,18.952,0.34167,0.0,1.782
